	name changed	name E	name D	synonyms D	category	category D	energy kJ	energy kcal	protein	water	starch	sugars	dietary fibres	fat, total
9	Greyerzer	Greyerzer, at least 45% fidm	Greyerzer, vollfett	Gruyère	Diary	Milch und Milchprodukte/Hartkäse	1650	400	27	36	0	0	0	32
15	Parmesan cheese	Parmesan cheese	Parmesan	Parmiggiano	Diary	Milch und Milchprodukte/Hartkäse	1560	375	36	29.5	0	0	0	26
10	Cream, UHT	Cream, UHT	Halbrahm, UHT		Diary	"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter"	1040	255	2.6	67.8	0	3.7	0	25
14	Cream, 35% fat	Cream, 35% fat, UHT	Vollrahm, UHT		Diary	"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter"	1380	335	2	59.2	0	3.1	0	35
16	Butter of choice	Butter of choice	Vorzugsbutter		Diary	"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter"	3070	750	0.7	16.4	0	0.6	0	82
14	Pasta with egg	Pasta with egg, dry	Teigwaren mit Ei, trocken	Eierteigwaren	Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	1550	365	13.3	10.7	64.5	3.6	3.4	3
14	Pasta egg-free	Pasta egg-free, dry	Teigwaren ohne Ei, trocken		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	1500	355	12.5	10	69.7	0.4	5.1	1
15	Wholemeal pasta	Wholemeal pasta egg-free, dry	Teigwaren ohne Ei, Vollkorn, trocken		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	1440	345	13.4	10.5	59.5	0.7	11.5	3
17	Puff pastry patty	Puff pastry patty with butter	Blätterteigpastetli, Butter		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte	2350	565	5.8	7.3	42.1	1	2	41
14	Rice parboiled	Rice parboiled, raw	Reis parboiled, trocken		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	1480	350	6.9	12	78.2	0	1.4	1
13	Rice polished	Rice polished, raw	Reis poliert, trocken		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	1480	350	6.6	12.5	78.3	0	1.4	1
15	Rice unpolished	Rice unpolished (wholemeal), raw	Reis unpoliert, trocken	Vollkornreis	Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	1510	360	7.5	11.4	72.7	1.2	3	3
10	Soya flour	Soya flour, full fat	Sojamehl, vollfett		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1680	405	40.8	11.6	0	3.1	18.5	21
16	Bakery flour 550	Wheat flour, bakery, type 550	Weizenmehl (Backmehl), Typ 550		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1460	345	12	14	68.5	0.3	3.2	1
17	Semi w. flour 720	Wheat flour, semi white, type 720	Weizenmehl, halbweiss, Typ 720		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1440	340	13	14.3	65.2	0.5	5	2
19	High ash flour 1100	Wheat flour, high ash, type 1100	Weizenmehl, Ruch, Typ 1100		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1440	340	13.5	14.5	63.5	0.6	5.7	2
20	Wholemeal flour 1700	Wheat flour, wholemeal, type 1700	Weizenmehl, Vollkorn, Typ 1700		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1430	340	13.5	12.5	60	1	11	2
15	White flour 400	Wheat flour, white, type 400	Weizenmehl, weiss, Typ 400		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1470	350	11.5	13.2	70	0.3	3.2	1
6	Potato	Potato, peeled, raw	Kartoffel, geschält, roh		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln	320	80	2	78.7	14.7	0.7	2.1	0
14	Dried Chickpea	Chickpea, dried	Kichererbse, getrocknet		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte	1370	330	18.6	13	41.9	2.4	15.5	5
12	Dried lentil	Lentil, dried	Linse, getrocknet		Cereals, legumes, potatoes	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte	1400	335	24	10.2	49.4	1	11.2	1
10	Cornflakes	Cornflakes	Cornflakes		Bread	Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien	1520	360	7.2	5.7	72	7.1	4	1
4	Rusk	Rusk	Zwieback		Bread	Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln	1810	430	14.7	3.6	54.6	14.4	2.6	10
10	Oat flakes	Oat flakes	Haferflocken		Bread	Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime	1570	375	13.5	8.7		1	10.5	8
14	Farmers' bread	Farmers' bread	Bauernbrot	Burebrot	Bread	Brote, Flocken und Frühstückscerealien/Brote und Brotwaren	1020	240	9	38.2	41.7	2.5	4.2	2
16	Semi-white bread	Semi-white bread	Halbweissbrot		Bread	Brote, Flocken und Frühstückscerealien/Brote und Brotwaren	1020	240	9.4	39.4	45.7	0.4	3.7	1
11	White bread	White bread	Weissbrot		Bread	Brote, Flocken und Frühstückscerealien/Brote und Brotwaren	1030	245	8.5	39.3	48.2	0.2	2.5	1
